DATE,WALCL_CHG
2002-12-25,12517
2003-01-01,-1065
2003-01-08,-7232
2003-01-15,-3688
2003-01-22,15879
2003-01-29,-23144
2003-02-05,6834
2003-02-12,-6362
2003-02-19,17119
2003-02-26,-8420
2003-03-05,669
2003-03-12,-5635
2003-03-19,12909
2003-03-26,-4904
2003-04-02,7433
2003-04-09,-4626
2003-04-16,18012
2003-04-23,-13616
2003-04-30,14072
2003-05-07,-12828
2003-05-14,6905
2003-05-21,-5672
2003-05-28,10197
2003-06-04,-13229
2003-06-11,11569
2003-06-18,-7310
2003-06-25,8092
2003-07-02,-3892
2003-07-09,4304
2003-07-16,-6665
2003-07-23,7900
2003-07-30,-5370
2003-08-06,-6277
2003-08-13,1368
2003-08-20,15439
2003-08-27,-10188
2003-09-03,9824
2003-09-10,-13227
2003-09-17,6705
2003-09-24,-2746
2003-10-01,11962
2003-10-08,-16047
2003-10-15,17121
2003-10-22,-10651
2003-10-29,3694
2003-11-05,-3156
2003-11-12,1488
2003-11-19,-1083
2003-11-26,12443
2003-12-03,-6983
2003-12-10,6604
2003-12-17,-2666
2003-12-24,13093
2003-12-31,4539
2004-01-07,-15722
2004-01-14,-3017
2004-01-21,23021
2004-01-28,-20554
2004-02-04,-1126
2004-02-11,-3154
2004-02-18,7760
2004-02-25,-8093
2004-03-03,4201
2004-03-10,-4917
2004-03-17,10688
2004-03-24,-9128
2004-03-31,9215
2004-04-07,-6642
2004-04-14,9651
2004-04-21,-5750
2004-04-28,14943
2004-05-05,-14089
2004-05-12,5997
2004-05-19,-7961
2004-05-26,14234
2004-06-02,-7018
2004-06-09,8097
2004-06-16,-10353
2004-06-23,13427
2004-06-30,4317
2004-07-07,-1415
2004-07-14,-2627
2004-07-21,1228
2004-07-28,-2848
2004-08-04,-1831
2004-08-11,-2820
2004-08-18,-1670
2004-08-25,7842
2004-09-01,9836
2004-09-08,3329
2004-09-15,526
2004-09-22,-7004
2004-09-29,4206
2004-10-06,-4553
2004-10-13,13706
2004-10-20,-10529
2004-10-27,6382
2004-11-03,-784
2004-11-10,9921
2004-11-17,-6383
2004-11-24,15866
2004-12-01,-2893
2004-12-08,1432
2004-12-15,-1467
2004-12-22,4305
2004-12-29,-389
2005-01-05,4758
2005-01-12,-17247
2005-01-19,8505
2005-01-26,302
2005-02-02,-2516
2005-02-09,-7447
2005-02-16,-1693
2005-02-23,8970
2005-03-02,-3324
2005-03-09,-2002
2005-03-16,7961
2005-03-23,-10117
2005-03-30,10457
2005-04-06,-10224
2005-04-13,8380
2005-04-20,-3914
2005-04-27,8004
2005-05-04,-7385
2005-05-11,5966
2005-05-18,-6832
2005-05-25,8614
2005-06-01,7175
2005-06-08,-3163
2005-06-15,-2974
2005-06-22,-769
2005-06-29,-347
2005-07-06,11474
2005-07-13,-12695
2005-07-20,7943
2005-07-27,-2545
2005-08-03,4582
2005-08-10,-10297
2005-08-17,5230
2005-08-24,-2461
